"brand","cohort","sex","wt","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"5947",2000,"F",15,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5948",2000,"F",15.8,1,2,3,4,5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5950",2000,"F",17,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5951",2000,"F",15.8,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5952",2000,"F",20.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5953",2000,"F",17.2,1,19,3,4,5,6,7,8,9,10,19,12,19,14,15,16,19,19,19,19,19,19,19,19,19
"5954",2000,"F",17.6,1,19,3,4,5,6,7,8,9,10,11,12,13,14,15,19,19,19,19,19,19,19,19,19,19
"5955",2000,"F",21.4,1,19,3,4,19,6,7,8,19,19,19,12,19,19,19,19,19,19,19,19,19,19,19,19,19
"5956",2000,"F",17.2,1,2,3,4,19,19,19,8,9,10,11,12,13,19,19,19,19,19,19,19,19,19,19,19,19
"5960",2000,"F",20.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5961",2000,"F",18.6,1,2,19,19,19,6,7,8,9,10,11,12,13,14,15,16,17,19,19,19,19,19,19,19,19
"5962",2000,"F",11.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5963",2000,"F",20.2,1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"5965",2000,"F",17.6,1,2,3,19,19,6,19,8,19,19,11,12,13,19,19,19,19,19,19,19,19,19,19,19,19
"5967",2000,"F",13.8,1,19,19,19,19,19,19,19,19,10,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
